iter	RMSE
0	0.3718756545
1	0.3489018424
2	0.3268640618
3	0.3085024723
4	0.2914882923
5	0.2760734781
6	0.2623110807
7	0.2484282
8	0.2369422379
9	0.2270227174
10	0.2165583137
11	0.2076164119
12	0.1996351513
13	0.1927847153
14	0.1867924558
15	0.1813703459
16	0.1759494372
17	0.1713677787
18	0.1662721048
19	0.1619946733
20	0.1579717496
21	0.1541505889
22	0.1511280543
23	0.1478893189
24	0.1453073443
25	0.1424580643
26	0.1402474463
27	0.1380913843
28	0.1360010484
29	0.1338892569
30	0.132070912
31	0.1300271569
32	0.1286553813
33	0.1273294136
34	0.1255193831
35	0.1240626362
36	0.1227896421
37	0.1213692168
38	0.1200637888
39	0.1190165857
40	0.1180489042
41	0.1171306059
42	0.1161467575
43	0.1151517188
44	0.1141585073
45	0.1134519199
46	0.1124796927
47	0.1117517911
48	0.1109203436
49	0.1100847074
50	0.1094815166
51	0.1088019603
52	0.1081054446
53	0.1073286419
54	0.107004373
55	0.1064997913
56	0.1061124507
57	0.105648044
58	0.105273454
59	0.104787123
60	0.1043446877
61	0.1038242796
62	0.1033952595
63	0.1030825072
64	0.1024753463
65	0.1020527567
66	0.1017983111
67	0.1013779386
68	0.1007505072
69	0.10035379
70	0.09986028057
71	0.09963807148
72	0.09919989328
73	0.09879194495
74	0.09840383381
75	0.09800054483
76	0.09772195473
77	0.09728882413
78	0.09693547481
79	0.09656294414
80	0.09636385653
81	0.09588939132
82	0.09566667873
83	0.09518167268
84	0.09473090555
85	0.09451940319
86	0.0939546778
87	0.09342467394
88	0.0932957333
89	0.09306462552
90	0.0927102357
91	0.09249293662
92	0.09227230679
93	0.09179665388
94	0.09125932966
95	0.09098899843
96	0.09087144239
97	0.09039747701
98	0.09016523766
99	0.08997852194
100	0.08965418331
101	0.08954002002
102	0.08926833623
103	0.08893191109
104	0.08844131469
105	0.08807188117
106	0.08764736705
107	0.08731017415
108	0.0870143117
109	0.0867519172
110	0.08631577719
111	0.08596426846
112	0.08553120917
113	0.08516445342
114	0.08486390428
115	0.08449926381
116	0.08411550152
117	0.08383812553
118	0.08352513702
119	0.083224196
120	0.08284154898
121	0.08259972207
122	0.08226240919
123	0.08216487349
124	0.08177010824
125	0.08146494999
126	0.08109177049
127	0.08079774897
128	0.08040291776
129	0.08018692574
130	0.07997350484
131	0.0795813106
132	0.07930728912
133	0.0790526043
134	0.07870542089
135	0.07855217786
136	0.07837323738
137	0.07804291971
138	0.0778913498
139	0.07749447332
140	0.07711111662
141	0.0767917335
142	0.07662165914
143	0.07658528537
144	0.07620426392
145	0.07597123882
146	0.07570263902
147	0.07563289393
148	0.07533790433
149	0.07502380961
150	0.07474100502
151	0.07447456925
152	0.07423896326
153	0.07405635312
154	0.07381810665
155	0.07349594824
156	0.07325925926
157	0.07306678993
158	0.07303039045
159	0.07270279838
160	0.07257404134
161	0.0725525272
162	0.07223185993
163	0.07208685524
164	0.07174482682
165	0.071653727
166	0.07137457457
167	0.07113992897
168	0.07102059957
169	0.07077937032
170	0.07048277847
171	0.07045268759
172	0.0703072648
173	0.07025228789
174	0.07000113866
175	0.06980392954
176	0.06977912988
177	0.0697565188
178	0.069602225
179	0.06927409569
180	0.06897754866
181	0.06873047992
182	0.06848265618
183	0.06830376409
184	0.0680436013
185	0.06778962295
186	0.06749544336
187	0.06734907365
188	0.06714896752
189	0.06711243612
190	0.06695197097
191	0.06674736339
192	0.06661927874
193	0.06640465673
194	0.06614301905
195	0.06594040665
196	0.06591589572
197	0.06566520973
198	0.06551785955
199	0.06535328836
200	0.06517490532
201	0.06513882297
202	0.0649183908
203	0.06470817837
204	0.06453825372
205	0.06433270405
206	0.06416527243
207	0.06411710075
208	0.06400245292
209	0.06374075817
210	0.06365881215
211	0.06339306289
212	0.06313735912
213	0.06291187545
214	0.06264503718
215	0.06262800404
216	0.06244666909
217	0.06242635893
218	0.06222590612
219	0.06200550771
220	0.06182336771
221	0.06170964154
222	0.06152708484
223	0.06149663565
224	0.06124954035
225	0.06105414337
226	0.06094905626
227	0.0607727818
228	0.06048023321
229	0.06040481686
230	0.06019668932
231	0.05997123446
232	0.05982914269
233	0.05967791589
234	0.05947460596
235	0.05921249842
236	0.05898747386
237	0.05897405612
238	0.05875248195
239	0.05853948838
240	0.05835417088
241	0.05823115679
242	0.05804134905
243	0.05786668123
244	0.0576844669
245	0.05766831308
246	0.05765250657
247	0.05736863491
248	0.05726521178
249	0.05710818522
250	0.05697242745
251	0.05682926007
252	0.05681159267
253	0.05667591976
254	0.05654026282
255	0.05629744815
256	0.05610092213
257	0.05599588183
258	0.0558648392
259	0.05564179831
260	0.05539937215
261	0.05522915644
262	0.05508031971
263	0.05494721168
264	0.05480086632
265	0.05460681384
266	0.05446447707
267	0.05433074396
268	0.05408293592
269	0.05395395569
270	0.05387508484
271	0.05369738207
272	0.0535611628
273	0.05340883452
274	0.05330273374
275	0.05311901088
276	0.05295651105
277	0.05290351879
278	0.0527805467
279	0.05257892176
280	0.05236081234
281	0.05222680486
282	0.05211999305
283	0.05194435632
284	0.05188016305
285	0.05186789585
286	0.05186013428
287	0.0517531083
288	0.05160875806
289	0.05153295351
290	0.05136393163
291	0.05117785863
292	0.05105488235
293	0.05093312925
294	0.05092195815
295	0.05074082597
296	0.05065476022
297	0.05057895866
298	0.05046095867
299	0.05043948394
